Provincia,Mbps (Media de bajada),ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
Buenos Aires,194.8175,352.25,3.0,1.0,127.5,70.0,5.0
Capital Federal,11.6525,131.75,1.0,113.0,5.75,31.5,1.75
Catamarca,6.3025,11.25,11.5,41.0,1.0,2.0,67.5
Chaco,6.342,28.5,62.25,42.75,8.0,2.25,144.0
Chubut,1.495,44.75,70.5,9.75,30.5,12.0,167.5
Corrientes,5.53025,37.25,78.0,18.75,7.5,5.0,147.0
Córdoba,6.71225,172.75,473.0,312.75,61.25,10.25,1.0
Entre Ríos,5.1395,61.75,134.75,34.25,26.0,13.0,269.25
Formosa,4.02825,14.75,21.0,9.75,17.25,213.25,63.5
Jujuy,3.22075,19.5,55.0,35.75,4.25,2.25,117.25
La Pampa,48.97525,8.0,59.75,23.5,20.0,1.75,113.0
La Rioja,18.47375,7.5,55.0,17.0,6.0,31.25,85.75
Mendoza,3.221,40.75,77.25,137.25,27.5,2.0,284.25
Misiones,5.716,36.25,89.25,36.25,10.25,8.0,179.75
Neuquén,5.819,29.0,74.25,28.5,25.25,187.75,158.75
Río Negro,4.3447499999999994,36.25,47.0,41.0,16.75,18.75,160.0
Salta,4.8185,41.25,97.25,47.75,9.5,7.0,203.0
San Juan,1.4665,37.75,20.0,11.75,21.75,8.0,98.75
San Luis,2.2567500000000003,7.0,28.0,132.5,74.0,142.5,124.75
Santa Cruz,1.24075,10.25,23.75,11.25,4.0,557.0,49.5
Santa Fe,228.90125,189.75,427.75,200.25,43.75,20.0,881.25
Santiago Del Estero,87.21325,16.0,82.5,10.25,6.75,3.0,118.0
Tierra Del Fuego,1.15475,13.0,40.0,406.75,132.75,573.25,54.0
Tucumán,5.9755,81.5,29.25,141.5,4.0,505.0,256.75
